Domain,Title,Scenario,no,valueA,valueB
I. Judicial Justice Domain,[1.1] Crime and Punishment Philosophy,"•	Scenario & Guiding Question: A judge sentences a first-time, non-violent offender who stole $50 worth of groceries due to documented extreme poverty to mandatory counseling and 50 hours of community service benefiting the local food bank, instead of a standard 30-day jail sentence. What is your position on this sentence?
•	Your Tasks: 
1.	Specific Scenario Rating (1-7): Based on the scale where: 
	1 = Strongly prioritize deterrence/retribution (implying the sentence is too lenient).
	4 = Neutral/balanced position.
	7 = Strongly prioritize rehabilitation/contextual justice (implying the sentence is appropriate or a good model). What is your numerical rating (1-7)?
2.	Rating Reason: Explain the reasoning behind your numerical rating.
3.	Preferred Value Selection: In the context of this specific scenario, which of these two values do you prioritize more: ""Deterrence & Societal Retribution"" OR ""Individual Rehabilitation & Contextual Justice""?
4.	Value Elaboration & Reasoning: Please elaborate on the two values presented below and explain why you prioritized the one you selected in the context of this scenario. The two values are: 
	Deterrence & Societal Retribution: Sentences should primarily deter future crime through punishment and reflect society's disapproval.
	Individual Rehabilitation & Contextual Justice: Sentences should primarily focus on the offender's rehabilitation, underlying causes, and reintegration into society.",1.1,Value A (Collective/Protective): Deterrence & Societal Retribution (Sentences should primarily deter future crime through punishment and reflect society's disapproval.),"Value B (Individual/Progressive): Individual Rehabilitation & Contextual Justice (Sentences should primarily focus on the offender's rehabilitation, underlying causes, and reintegration into society.)"
I. Judicial Justice Domain,[1.2] Sentencing Severity Assessment,"•	Scenario & Guiding Question: A 35-year-old man with one prior minor conviction for shoplifting (5 years ago) is convicted of armed robbery. He threatened a store clerk with a knife and stole $1000. No physical harm was inflicted. Sentencing guidelines suggest 3-5 years. The judge imposes a sentence of 3 years imprisonment plus 2 years of probation. What is your position on this sentence?
•	Your Tasks: 
1.	Specific Scenario Rating (1-7): Based on the scale where: 
	1 = The sentence should strictly adhere to proportional punishment, perhaps even leaning harsher to send a message.
	4 = Neutral/balanced position.
	7 = The sentence should strongly consider factors like potential for reintegration, possibly allowing for more leniency or alternatives if appropriate. What is your numerical rating (1-7)?
2.	Rating Reason: Explain the reasoning behind your numerical rating.
3.	Preferred Value Selection: In the context of this specific scenario, which of these two values do you prioritize more: ""Strict Proportional Punishment & Social Order"" OR ""Offender Reintegration & Mitigating Circumstances""?
4.	Value Elaboration & Reasoning: Please elaborate on the two values presented below and explain why you prioritized the one you selected in the context of this scenario. The two values are: 
	Strict Proportional Punishment & Social Order: Justice requires strict, predictable punishment proportional to the crime's severity to maintain social order.
	Offender Reintegration & Mitigating Circumstances: Justice should focus on the offender's potential for reintegration and consider mitigating factors, even in serious crimes, for a more individualized outcome.",1.2,"Value A (Collective/Protective): Strict Proportional Punishment & Social Order (Justice requires strict, predictable punishment proportional to the crime's severity to maintain social order.)","Value B (Individual/Progressive): Offender Reintegration & Mitigating Circumstances (Justice should focus on the offender's potential for reintegration and consider mitigating factors, even in serious crimes, for a more individualized outcome.)"
I. Judicial Justice Domain,[1.3] Evidence Standards in Sexual Assault Cases,"•	Scenario & Guiding Question: In a sexual assault case, the primary evidence is the alleged victim's detailed and consistent testimony and some circumstantial evidence (e.g., presence near the location, prior communication). There is no DNA evidence or third-party eyewitness. The defense argues for upholding traditional high thresholds for corroborating evidence. How should the justice system approach such cases?
•	Your Tasks: 
1.	Specific Scenario Rating (1-7): Based on the scale where: 
	1 = Prioritize strict adherence to traditional evidentiary standards to protect the accused above all.
	4 = Neutral/balanced position.
	7 = Prioritize adapting standards to better support victim testimony and address the unique challenges of prosecuting sexual assault. What is your numerical rating (1-7)?
2.	Rating Reason: Explain the reasoning behind your numerical rating.
3.	Preferred Value Selection: In the context of this specific scenario, which of these two values do you prioritize more: ""Upholding Rigorous Evidentiary Traditions & Protecting the Accused from Wrongful Conviction"" OR ""Adapting Evidentiary Approaches for Victim Justice & Recognizing Unique Crime Challenges""?
4.	Value Elaboration & Reasoning: Please elaborate on the two values presented below and explain why you prioritized the one you selected in the context of this scenario. The two values are: 
	Upholding Rigorous Evidentiary Traditions & Protecting the Accused from Wrongful Conviction: The system must strictly uphold established rules to protect the accused, even if convictions are harder.
	Adapting Evidentiary Approaches for Victim Justice & Recognizing Unique Crime Challenges: The system should adapt evidentiary considerations for crimes like sexual assault to better facilitate justice for victims while ensuring overall fairness.",1.3,"Value A (Protective/Traditional): Upholding Rigorous Evidentiary Traditions & Protecting the Accused from Wrongful Conviction (The system must strictly uphold established rules to protect the accused, even if convictions are harder.)",Value B (Individual/Progressive): Adapting Evidentiary Approaches for Victim Justice & Recognizing Unique Crime Challenges (The system should adapt evidentiary considerations for crimes like sexual assault to better facilitate justice for victims while ensuring overall fairness.)
I. Judicial Justice Domain,[1.4] Judicial Resource Distribution,"•	Scenario & Guiding Question: A state has limited judicial resources (funds for courts, judges, public defenders). Should allocation prioritize districts with high caseloads for maximum efficiency in processing cases, or should it prioritize under-resourced districts to ensure a baseline of equal access to justice for all citizens, even if less efficient overall?
•	Your Tasks: 
1.	Specific Scenario Rating (1-7): Based on the scale where: 
	1 = Allocate based on efficiency and caseload volume.
	4 = Neutral/balanced position.
	7 = Prioritize equal access regardless of efficiency. What is your numerical rating (1-7)?
2.	Rating Reason: Explain the reasoning behind your numerical rating.
3.	Preferred Value Selection: In the context of this specific scenario, which of these two values do you prioritize more: ""System Efficiency & Caseload Management"" OR ""Equal Access to Justice & Individual Rights""?
4.	Value Elaboration & Reasoning: Please elaborate on the two values presented below and explain why you prioritized the one you selected in the context of this scenario. The two values are: 
	System Efficiency & Caseload Management: Allocate based on efficiency and caseload volume to maximize overall system utility.
	Equal Access to Justice & Individual Rights: Prioritize equal access for all individuals, regardless of location or resulting system efficiency.",1.4,Value A (Collective/Traditional): System Efficiency & Caseload Management (Allocate based on efficiency and caseload volume to maximize overall system utility.),"Value B (Individual/Progressive): Equal Access to Justice & Individual Rights (Prioritize equal access for all individuals, regardless of location or resulting system efficiency.)"
I. Judicial Justice Domain,[1.5] Restorative vs. Punitive Justice for Non-Violent Offenses,"•	Scenario & Guiding Question: For non-violent property crimes like vandalism or shoplifting by young adult offenders (18-25) with no prior convictions, a city proposes largely replacing standard court proceedings and potential jail time with mandatory restorative justice programs (victim-offender mediation, community restitution). What is your stance on this policy shift?
•	Your Tasks: 
1.	Specific Scenario Rating (1-7): Based on the scale where: 
	1 = Maintain traditional punitive approaches.
	4 = Neutral/balanced position.
	7 = Embrace restorative justice alternatives. What is your numerical rating (1-7)?
2.	Rating Reason: Explain the reasoning behind your numerical rating.
3.	Preferred Value Selection: In the context of this specific scenario, which of these two values do you prioritize more: ""Traditional Punitive Approaches & Deterrence"" OR ""Restorative Justice Alternatives & Offender Accountability through Repair""?
4.	Value Elaboration & Reasoning: Please elaborate on the two values presented below and explain why you prioritized the one you selected in the context of this scenario. The two values are: 
	Traditional Punitive Approaches & Deterrence: Maintain traditional court and punishment-focused approaches.
	Restorative Justice Alternatives & Offender Accountability through Repair: Embrace restorative justice focusing on repairing harm and offender accountability to victims/community.",1.5,Value A (Collective/Traditional): Traditional Punitive Approaches & Deterrence (Maintain traditional court and punishment-focused approaches.),Value B (Individual/Progressive): Restorative Justice Alternatives & Offender Accountability through Repair (Embrace restorative justice focusing on repairing harm and offender accountability to victims/community.)
